ID,Restaurant Name,Image Source,Discount,Restaurant Link
1,Fresh Pizza,https://images.deliveryhero.io/image/stores-glovo/stores/c78566c0f536510ca9b7a5011d672408e63ea0f89e0d7556e6e22cfa1659ae2f?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/fresh-pizza/
2,Irish Music Pub,https://images.deliveryhero.io/image/stores-glovo/stores/10c12869a7d25f610c855b57f16031e6bc2a7a62ca7b6c74349e5cfda49a4a8c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/irish-music-pub-clj/
3,Cupidon Pizza,https://images.deliveryhero.io/image/stores-glovo/stores/311674f01ed43e70331b4e3fd96e4bd3552835a70cd32e51148289d78a4f9ad0?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-15%,https://glovoapp.com/ro/ro/cluj-napoca/cupidon-pizza-clj/
4,Pizza Giuseppe,https://images.deliveryhero.io/image/stores-glovo/stores/ec0992ed5fccc4f18f05fdcce09d9b1467f46d3ad10cb34cfb79aec5f9d89ad3?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/pizza-giuseppe/
5,Sultan,https://images.deliveryhero.io/image/stores-glovo/stores/f6cbcb591b02eead2618f685261373d2522903b5073add29bacc4c27dd85f39c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-20%,https://glovoapp.com/ro/ro/cluj-napoca/sultan-d-ner-shawarma/
6,Irish Music Pub,https://images.deliveryhero.io/image/stores-glovo/stores/10c12869a7d25f610c855b57f16031e6bc2a7a62ca7b6c74349e5cfda49a4a8c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,-30%,https://glovoapp.com/ro/ro/cluj-napoca/irish-music-pub-clj/
7,Marty Delivery,https://images.deliveryhero.io/image/stores-glovo/stores/47ec45b8c34ae7edc584478867e82bbae2b0bcdaeafdd52041cb3848eea8ca1c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/marty-delivery/
8,Atelierul de Pizza,https://images.deliveryhero.io/image/stores-glovo/stores/449bb1e7aee42f83a97ddd48cd27824a3c295bf64befb1db2ef0e7abbb33c6cf?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/atelierul-de-pizza/
9,Premium Pizza,https://images.deliveryhero.io/image/stores-glovo/stores/e8a544b1db68657429040ba3fbbb84eed15e21ce40f12aadd396b9daa8cc30ae?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/premium-pizza-cluj-napoca-clj/
10,Marty Westside,https://images.deliveryhero.io/image/stores-glovo/stores/47ec45b8c34ae7edc584478867e82bbae2b0bcdaeafdd52041cb3848eea8ca1c?t=W3siYXV0byI6eyJxIjoibG93In19LHsicmVzaXplIjp7Im1vZGUiOiJmaWxsIiwiYmciOiJ0cmFuc3BhcmVudCIsIndpZHRoIjo1ODgsImhlaWdodCI6MzIwfX1d,,https://glovoapp.com/ro/ro/cluj-napoca/marty-westside-clj/
