ID,Restaurant Name,Restaurant Img Src,Restaurant Discount,Restaurant Link
1,Mona Pizza Cluj,https://tazzcdn.akamaized.net/uploads/cover/1678703303_food-pibig-info-p-karlo-pitstsa-oboi-2.png,-40% TOT meniul,https://tazz.ro/cluj-napoca/mona-pizza-cluj/15523/restaurant
2,Faretti,https://tazzcdn.akamaized.net/uploads/cover/renditionDownload_4_9.jpg,-40% TOT meniul,https://tazz.ro/cluj-napoca/faretti/19975/restaurant
3,Wrap in a box,https://tazzcdn.akamaized.net/uploads/cover/209758609_l_normal_none.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/wrap-in-a-box/19150/restaurant
4,Dacbarbar,https://tazzcdn.akamaized.net/uploads/cover/poza_profil_tazz_resize.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/dacbarbar/15106/restaurant
5,Magic Sushi,https://tazzcdn.akamaized.net/uploads/cover/Coperta_-_0W9A3003.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/magic-sushi/5742/restaurant
6,SIP TASTY FOOD,https://tazzcdn.akamaized.net/uploads/cover/WhatsApp_Image_2023-12-04_at_12.12.34_c1cfff9d.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/sip-tasty-food/15811/restaurant
7,Schnitzel on Wheels,https://tazzcdn.akamaized.net/uploads/cover/0_-_Cover_14.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/schnitzel-on-wheels/1890/restaurant
8,Bistro LOVEGAN,https://tazzcdn.akamaized.net/uploads/cover/cover_234.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/bistro-lovegan/6775/restaurant
9,20 Pizza,https://tazzcdn.akamaized.net/uploads/cover/pizza-baking-fast-food-lunch-business-lunch-restaurant-snacks-food-menu_2.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/20-pizza/4217/restaurant
10,Power Fresh Food,https://tazzcdn.akamaized.net/uploads/cover/Meniu_club_sandwich_new_york_1.jpg,-30% TOT meniul,https://tazz.ro/cluj-napoca/power-fresh-food/1816/restaurant
11,PIZZA GIUSEPPE,https://tazzcdn.akamaized.net/uploads/cover/38FF07D9-754F-4218-906E-AEC10254D079.jpeg,-30% TOT meniul,https://tazz.ro/cluj-napoca/pizza-giuseppe/15697/restaurant
